iter	Logloss
0	0.6814717395
1	0.672186855
2	0.663726009
3	0.6572059348
4	0.6501704153
5	0.6434294484
6	0.6389053153
7	0.6344221379
8	0.630271963
9	0.6270005205
10	0.6239230559
11	0.6207610878
12	0.6165118502
13	0.6132502146
14	0.610859924
15	0.6082810558
16	0.6054110481
17	0.6026632161
18	0.5999747008
19	0.5973086506
20	0.5955113532
21	0.5933889161
22	0.5909190903
23	0.589254294
24	0.5872546375
25	0.5859538628
26	0.5838995556
27	0.582512895
28	0.5807786728
29	0.5791600164
30	0.5777690788
31	0.5761263156
32	0.5743703627
33	0.5725682266
34	0.5716539819
35	0.5706406746
36	0.569241183
37	0.5680842284
38	0.5667006783
39	0.5655097236
40	0.564229254
41	0.562801076
42	0.5614930002
43	0.5602968612
44	0.5592135664
45	0.5582998833
46	0.5575231944
47	0.5566601875
48	0.5558820729
49	0.5548756347
50	0.5535477723
51	0.5528380467
52	0.5518234866
53	0.5503956975
54	0.5489401294
55	0.547827025
56	0.5467100324
57	0.5455962368
58	0.5446044874
59	0.5433275604
60	0.5426153723
61	0.5417985485
62	0.5411502565
63	0.5404420863
64	0.5398465441
65	0.5388776054
66	0.5379898005
67	0.5371790682
68	0.5361592374
69	0.5355015273
70	0.5342312102
71	0.5336481102
72	0.5327826408
73	0.5319437839
74	0.531519236
75	0.5304130008
76	0.5293821966
77	0.5286466362
78	0.5278698176
79	0.5269404954
80	0.5263757996
81	0.5255785896
82	0.5250789995
83	0.524187868
84	0.5232400552
85	0.5221821632
86	0.5215544786
87	0.5207898863
88	0.5202533152
89	0.5197322536
90	0.5189247183
91	0.5183323299
92	0.5173313352
93	0.5165778891
94	0.5159578081
95	0.5151536425
96	0.514499259
97	0.5137720366
98	0.5132382735
99	0.5125101871
100	0.5115076371
101	0.5107703486
102	0.510023426
103	0.5092784474
104	0.5087716426
105	0.5081756684
106	0.5074606722
107	0.5067091269
108	0.5058774416
109	0.5053848935
110	0.5046734398
111	0.5042087139
112	0.5033848914
113	0.5028320762
114	0.5023163717
115	0.5014310725
116	0.5005483654
117	0.4997205683
118	0.4989008499
119	0.4980549511
120	0.4974355181
121	0.4967295512
122	0.4960786238
123	0.4953955108
124	0.494937222
125	0.4941311556
126	0.4935488765
127	0.4930513601
128	0.4921174585
129	0.4911554321
130	0.4907405615
131	0.489759051
132	0.4889259832
133	0.4882899606
134	0.4878314558
135	0.4871459235
136	0.4865698223
137	0.4858932329
138	0.4853084481
139	0.4847183926
140	0.4841224184
141	0.4836080964
142	0.4830974465
143	0.4824916654
144	0.4819989445
145	0.4815406989
146	0.4808369784
147	0.4802029431
148	0.4796060185
149	0.4791103166
150	0.4785031531
151	0.4774730833
152	0.4770611072
153	0.4765475628
154	0.4761914472
155	0.4756486981
156	0.4753990327
157	0.4749061389
158	0.474402747
159	0.4737141474
160	0.4732752131
161	0.4727010993
162	0.4720435188
163	0.4716394487
164	0.4712189618
165	0.4707919946
166	0.4702943054
167	0.469852131
168	0.4693438141
169	0.468528848
170	0.467943588
171	0.4674080104
172	0.4669168016
173	0.4664864214
174	0.46604766
175	0.465594685
176	0.4652347676
177	0.464729302
178	0.4640670989
179	0.4637354789
180	0.4633923671
181	0.4628427489
182	0.4623492071
183	0.4620841617
184	0.4615566198
185	0.4609941273
186	0.4605668576
187	0.4599924845
188	0.459445156
189	0.4590686058
190	0.4586715777
191	0.4581375122
192	0.4578125886
193	0.4571989879
194	0.4566669962
195	0.4559904499
196	0.4555983468
197	0.4552080583
198	0.4546891568
199	0.4541925909
